1051;Superconductivity Of Metals And Alloys (Advanced bookclassics);Book ;ISBN: 0201510073ISBN_13: 9780201510072;DM27103B9;1;Main
1052;Counterexamples in Analysis (Dover Books on Mathematics) ;Book ;ISBN: 0486428753ISBN_13: 9780486428758;MA 6020B3;1;Main
1053;Dictionary for Clinical Trials ;Book ;ISBN: 0471985961ISBN_13: 9780471985969;DI 24002B10;1;Main
? 04/06/2025 23:51 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:11 3/8;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
1054;ProbabilitÇ (L3M1) (ENSEIGNEMENT SUP MATHEMATIQUES)(French Edition);Book ;ISBN: 2868839312ISBN_13: 9782868839312;MA 6070B3;1;Main
1055;Algebra (Graduate Texts in Mathematics) ;Book ;ISBN: 038795385XISBN_13: 9780387953854;MA 6005B3;1;Main
1056;Comment leur dire... La Process Communication - 2e Çditiion(DÇveloppement personnel et accompagnement);Book ;ISBN: 2729610588ISBN_13: 9782729610586;DP19009B7;1;Main
1057;La Boåte Ö outils de la Pleine conscience au travail (BÖO LaBoåte Ö Outils) (French Edition);Book ;ISBN: 2100748297ISBN_13: 9782100748297;DP19030B7;1;Main
1058;La Boåte Ö outils de l'intelligence collective (BÖO La Boåte ÖOutils);Book ;ISBN: 2100739468ISBN_13: 9782100739462;DP19031B7;1;Main
1059;Human Values and Ethics for Engineers and Professionals ;Book ;ISBN: 0997379421ISBN_13: 9780997379426;SH18011B6;1;Main
1061;HANDBOOK OF HEALTH AND WELFARE STATISTICS ;Book ;ISBN_13: 9784875114512 ;SM 5004B2;1;Main
1062;Unitary Group Representations in Physics, Probability, andNumber Theory (Advanced Book Classics);Book ;ISBN: 020151009XISBN_13: 9780201510096;PH 1889B1;1;Main
1063;UN OBUS DANS LE COEUR ;Book ;ISBN_13: 9782330064563 ;FR16193B5;1;Main
1064;Exercices et problämes de mÇcanique des solides et desstructures: Applications Ö l'aÇronautique et l'aÇrospatiale(Sciences Sup) (French Edition);Book ;ISBN: 2100567004ISBN_13: 9782100567003;PH 278B1;1;Main
1065;Computational physics ;Book ;ISBN: 0805354301ISBN_13: 9780805354300;DM27020B9;1;Main
1066;Biology: The unity and diversity of life ;Book ;ISBN: 0534027423ISBN_13: 9780534027421;BI 4001B2;1;Main
1067;Nuclear Sizes and Structure (International Series ofMonographs on Physics);Book ;ISBN: 0198512724ISBN_13: 9780198512721;DM27057B9;1;Main
1068;Classical Dynamics of Particles and Systems, 4th Edition ;Book ;ISBN: 0030973023ISBN_13: 9780030973024;DM27139B9;3;Main
? 04/06/2025 23:51 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:11 4/8;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
1069;Data Analysis and Regression: A Second Course in Statistics ;Book ;ISBN: 020104854XISBN_13: 9780201048544;IT 8007B3;1;Main
1070;LE PETIT SINGULIER DE METZ ;Book ;ISBN_13: 9782956573609 ;FR16102B5;1;Main
1071;Principles of Physics ;Book ;ISBN: 0071138544ISBN_13: 9780071138543;PH 1059B1;1;Main
1072;Sears and Zemansky's University Physics With ModernPhysics (Addison-Wesley Series in Physics);Book ;ISBN: 0201603365ISBN_13: 9780201603361;PH 1883B1;2;Main
1073;Fundamentals of plasma physics (Wiley series in plasmaphysics);Book ;ISBN: 0471045934ISBN_13: 9780471045939;DM27029B9;1;Main
1074;PHYSICS AND PHYSICS CLASSICAL AND MODERN ;Book ;ISBN: 0770339198 ;PH 1064B1;1;Main
1075;Statistical literacy: A guide to interpretation ;Book ;ISBN: 0878721835ISBN_13: 9780878721832;MA 6079B3;1;Main
1076;MÇcanique des milieux continus ;Book ;PH 271B1;1;Main;
1077;AUSTRALIA'S HEALTH ;Book ;ISBN: 0642247676ISBN_13: 9780642247674;SM 5001B2;1;Main
1078;LES COURS DE PHYSIQUES DE FEYNMAN :ELECTROMAGNETISME 2;Book ;ISBN_13: 9782100703975 ;PH 1306B1;1;Main
1079;LES COURS DE PHYSIQUES DE FEYNMAN : MECANIQUE 2 ;Book ;ISBN_13: 9782100706730 ;PH 273B1;1;Main
1080;LES COURS DE PHYSIQUES DE FEYNMAN : MECANIQUE 1 ;Book ;ISBN_13: 9782100706686 ;PH 274B1;1;Main
1082;Advances in Nuclear Physics, Vol. 7 ;Book ;ISBN: 0306391074ISBN_13: 9780306391071;DM27009B9;1;Main
1083;Advances in Nuclear Physics, Vol. 8 ;Book ;ISBN: 0306391082ISBN_13: 9780306391088;DM27010B9;1;Main
1084;Advances in Nuclear Physics: Volume 5 ;Book ;ISBN: 0306391058ISBN_13: 9780306391057;DM27013B9;1;Main
? 04/06/2025 23:51 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:11 5/8;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
1085;Advances in Nuclear Physics: Volume 4 ;Book ;ISBN: 030639104XISBN_13: 9780306391040;DM27012B9;1;Main
1086;ELECTRON SCATTERING FROM COMPLEX NUCLEI- PART A ;Book ;PH 1257B1;2;Main;
1087;INCERTITUDES DE MESURE : APPLICATIONS CONCRETESPOUR LES ESSAIS - TOME 2;Book ;ISBN_13: 9782759805938 ;MA6038B3;1;Main
1088;OPTICS ;Book ;DM27062B9;1;Main;
1089;Advances in Nuclear Physics, Vol. 6 ;Book ;ISBN: 0306391066ISBN_13: 9780306391064;DM27008B9;1;Main
1090;La science nous MENACE-t-elle ? (Les Petites Pommes duSavoir) (French Edition);Book ;ISBN: 2746501090ISBN_13: 9782746501096;FR16073B5;1;Main
1091;Comment je vois le monde (Champs sciences (183)) ;Book ;ISBN: 2081229048ISBN_13: 9782081229044;SH18005B6;1;Main
1092;Advances in Nuclear Physics: Volume 10 ;Book ;ISBN: 0306391104ISBN_13: 9780306391101;DM27137B9;1;Main
1093;Advances in Nuclear Physics, Vol. 9 ;Book ;ISBN: 0306391090ISBN_13: 9780306391095;DM27011B9;1;Main
1094;Social Causes of Illness ;Book ;ISBN: 0394748050ISBN_13: 9780394748054;SH18037B6;1;Main
1095;APPROCHES DU MAGHREB ROMAIN : 1 ;Book ;HP20003B8;1;Main;
1096;MESONS AND FIELDS : VOLUME 1 FIELDS ;Book ;DM27047B9;1;Main;
1097;MESONS AND FIELDS : VOLUME 2 MESONS ;Book ;PH 1269B1;1;Main;
1098;An Introduction to Scientific Research (A SUPPRIMER) ;Book ;1;Main;;
1099;M'HASCHICH ;Book ;FR16155B5;1;Main;
? 04/06/2025 23:51 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:11 6/8;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
1100;ELEMENTARY NUMERICAL ANALYSIS An AlgorithmicApproach;Book ;MA6028B3;1;Main;
1101;The MATHEMATICS of PHYSICS and CHEMISTRY ;Book ;MA6085B3;1;Main;
1102;The Human SIDE of STATISTICAL CONSULTING ;Book ;SH18040B6;1;Main;
1103;THE ANALYSIS OF CROSS-CLASSIFICATIONS ;Book ;MA6084B3;1;Main;
1104;RANDOM MATRICES REVISED AND ENLARGED - SECONDEDITION;Book ;MA6075B3;1;Main;
1105;LECTURES ON QUANTUM MECHANICS ;Book ;ISBN: 0805306676 ;DM27045B9;1;Main
1106;LOW-ENERGY HADRON PHYSICS FROM EFFECTIVE CHIRALLAGRANGIANS WITH VECTOR MESONS;Book ;DM27123B9;1;Main;
1107;THE HARMONIC OSCILLATOR IN MODERN PHYSICS : FROMATOMS TO QUARKS;Book ;PH 1432B1;1;Main;
1108;Statistics ;Book ;MA6080B3;1;Main;
1109;THE PEOPLE'S ALMANAC # 2 ;Book ;SM 5014B2;1;Main;
1110;Introduction to Theoretical Mechanics ;Book ;DM27135B9;1;Main;
1111;AN INTRODUCTION TO NUCLEAR ASTROPHYSICS : TheFormation and the Evolution of Matter in the Universe;Book ;PH 1251B1;1;Main;
1112;Gauge theory of elementary particle physics ;Book ;PH 1258B1;1;Main;
1113;THINKING Physics : QUESTIONS WITH CONCEPTUALEXPLANATIONS;Book ;PH 1886B1;1;Main;
1114;MATHEMATICAL AND THEORETICAL PHYSICS- Volume 2 ;Book ;DM27046B9;1;Main;
1115;HADRON PROPERTIES FROM QCD SUM RULES ;Book ;PH 1260B1;1;Main;
? 04/06/2025 23:51 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:11 7/8;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
1116;QUARK MASSES ;Book ;PH 1280B1;1;Main;
1117;CURRENT ALGEBRA AND ANOMALIES ;Book ;MA6025B3;1;Main;
? Page 11 of 20, showing 100 records out of 1942 total, starting on record 1001, ending on 1100;;;;;;
;;;;;;
04/06/2025 23:51 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:11 8/8;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
? ? ??? 21??? ??? 22??????? ??????? ?????? ;Journal ;1;Main;1118;;
1119;Social and ecological transformation in Morocco andacross Africa;Journal ;HP 20065B8;1;Main;
1120;perspectives POLITICAL ANALYSES ANDCOMMENTARY Middle East & North Africa;Journal ;HP 20062B8;1;Main ;
Book ;1;Main;???? ????? ?? ?????? ??? ????? ;1121;;
1122;ASUPPRIMER ;Book ;1;Main ;;
Book ;1;Main;??????? ???????? ;1123;;
1124;Le Sahara Occidental Marocain ;Book ;HP 20068B8;1;Main;
1125;THE SIX SIGMA WAY ;Book ;GI 12023B4;1;Main;
1126;The CANCER SYNDROME ;Book ;ISBN: 0394176553 ;SM 5010B2;1;Main
1127;DORLAN'S POCKET MEDICAL DICTIONARY ;Book ;DI 24006B10;1;Main;
1128;Les chiens de garde ;Book ;FR 16123B5;1;Main;
1129;LEVIATHAN : OR THE MATTER, FORME AND POWEROF A COMMONWEALTH ECCLESIASTICALL AND CIIVL;Book ;SH 18030B6;1;Main;
1130;Chemical Kinetics And Dynamics ;Book ;ISBN: 0131294792 ;CH 2002B2;1;Main
1131;NUCLEAR SHELL THEORY ;Book ;DM 27056B9;1;Main;
1132;Ions Lourds et MÇsons en Physique NuclÇaire.Nuclear Physics With Heavy Ions And MesonsVolume 2;Book ;ISBN: 044485231X ;DM 27042B9;1;Main
1133;Un Lieu Incertain (French Edition) ;Book ;ISBN: 2253161780ISBN_13: 9782290023501;FR 16192B5;1;Main
1134;L'Amour (French Edition) ;Book ;ISBN: 2070385531ISBN_13: 9782070385539;FR 16078B5;1;Main
? Report: All Copies ? May 6, 2025 - June 4, 2025 ?;;;;;;
;;;;;;
04/06/2025 23:51 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:12 1/7;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
1135;Theory of complex nuclei (International series innatural philosophy);Book ;ISBN: 0080180531ISBN_13: 9780080180533;DM 27116B9;1;Main
1136;CHIRAL DYNAMICS IN HADRONS & NUCLEI ;Book ;DM 27018B9;2;Main ;
Book ;EnrÇparation;?????? ????????? ??????? ?????? 1998;1137;1;Main;
1138;Le partenaire de votre croissance au Maroc ;Publication ;HP 20043B8;1;Main ;
Publication ;1;Main;????? 43??? ?????? ?????????? ??? ?????? : ????? ??????? ????? ;1139;;
1140;Georgia Tech Lorraine ;Other ;PU 26005B10;1;Main;
1141;MARKETING : LA NEBULEUSE DES GRANDSGROUPES DE PUBLICTE;Publication ;MK 15005B4;1;Main;
1142;Aladdin et le Berrad RÇgional ;Journal ;FR 16009B5;1;Main;
1143;Study EU and German external migration policies :The case of Morocco;Publication ;PU 26012B10;1;Main;
1144;L'EXPERIENCE COMMUNALE AU MAROC De la JemaaÖ la libre administration;Journal ;HP 20052B8;1;Main;
1145;States of Change Stories of Transformation in PublicHealth;Book ;SM 5008B2;1;Main;
1146;Ecology in Electoral Manifestos in Morocco 2011-2016;Publication ;SH 18007B6;1;Main;
1147;NOT FOUND ;Other ;1;Main;;
1148;NOT FOUND ;Other ;4;Main;;
1149;The Feynman LECTURES ON PHYSICS - VOLUME 3 ;Book ;PH 1058B1;1;Main;
1150;Collaborative Leadership and Health ;Book ;DP 19008B7;1;Main;
1151;The Equation of State and Neutron Stars ;Book ;PH 1884B1;1;Main;
1152;Forage - Production ;Book ;GI 12005B4;1;Main;
1153;PARTICLE PROPERTIES DATA BOOKLET ;Book ;PH 1412B1;1;Main;
? 04/06/2025 23:51 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:12 2/7;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
1154;ELEMENTS D'HYDRAULIQUE SOUTERRAINE ;Book ;EN 3003B2;1;Main;
1155;?????? ,?????: ?????? ???????? , ???? ?khaled al Khumaisi ;Book ;ISBN_13: 6221102017183 ;LA 17090B5;1;Main
1156;Le code secret de l'Univers ;Book ;ISBN: 2290133655ISBN_13: 9782290133651;FR 16085B5;1;Main
1157;Liberez votre creativite (French Edition) ;Book ;ISBN: 2290355089ISBN_13: 9782290355084;DP 19050B7;2;Main
1158;Le bonheur conjugal (Folio) (French Edition) ;Book ;ISBN: 2070456110ISBN_13: 9782070456116;FR 16081B5;1;Main
1159;The New One Minute Manager (The One MinuteManager-updated);Book ;ISBN: 8172234996ISBN_13: 9788172234997;DP 19083B7;1;Main
1160;mÇthodes mathÇmatiques pour les sciencesphysiques;Book ;MA 6054B3;1;Main;
1161;the physics of elementary excitat ions ;Book ;DM 27108B9;1;Main;
1162;AN INTRODUCTION TO NUCLEAR ASTROPHYSICS :The Formation and the Evolution of Matter in theUniverse;Book ;PH 1251B1;2;Main;
1163;An Introduction to Relativistic Quantum FieldsTheory;Book ;DM 27125B9;1;Main;
1164;NOT FOUND ;Book ;1;Main;;
1165;SQL pour Oracle: Applications avec Java, PHP et XML.Optimisation des requàtes et schÇmas. Avec 50exercices corrigÇs. (Noire) (French Edition);Book ;ISBN: 2212141564ISBN_13: 9782212141566;IT 8020 B3 ;1;Main
1166;The evolution of public health in ethiopia 1941-2010 ;Book ;SM 5011B2;1;Main;
1167;model state public health act : a tool for assessingpublic health laws;Book ;DR 22003B8;1;Main;
1168;production de l'energie Ö partir de source solaire ;Book ;EN 3008B2;1;Main;
1169;distribution d'Çnergie et rÇseaux ;Book ;GI 12004B4;1;Main;
1170;demonstrating : excellence in practice-basedteaching for public health;Book ;LA 17013B5;1;Main;
? 04/06/2025 23:51 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:12 3/7;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
1171;Ecole Centrale Casablanca Enjeux ÇnergÇtiques 2 et3 Octobre 2017;Book ;EN 3002B2;1;Main;
1172;Ecole Centrale Casablanca Enjeux ÇnergÇtiques 2 et3 Octobre 2017;Book ;EN 3002B2;2;Main;
1173;Ecole Centrale Casablanca Enjeux ÇnergÇtiques 2 et3 Octobre 2017;Book ;EN 3002B2;3;Main;
1174;Ecole Centrale Casablanca Enjeux ÇnergÇtiques 2 et3 Octobre 2017;Book ;EN 3002B2;4;Main;
1175;Vital registration systems in five developing contries: honduras, mexico, pjilippines, thailand, andjamaica;Book ;HP 20069B8;1;Main;
1176;Les Identites Meurtrieres (Ldp Litterature) (FrenchEdition);Book ;ISBN: 2253150053ISBN_13: 9782253150053;FR 16133B5;10;Main
1177;Le jour oó j'ai appris Ö vivre (Roman contemporain)(French Edition);Book ;ISBN: 2266258737ISBN_13: 9782266258739;FR 16092B5;1;Main
1178;Allah n'est pas Oblige (French Edition) (Points(Editions Du Seuil));Book ;ISBN: 2020525712ISBN_13: 9782020525718;FR 16010B5;1;Main
1179;Alter Ego + : A1 - Cahier d'activitÇs ;Book ;ISBN_13: 9782011558114 ;FR 16011B5;1;Main
1180;Alter Ego + : A1 - mÇthode de franáais pour grandsadolescents et adultes;Book ;ISBN_13: 9782011558107 ;FR 16012B5;1;Main
1181;Make Your Bed: Small things that can change yourlife... and maybe the world;Book ;ISBN: 0718188861ISBN_13: 9780718188863;DP 19053B7;1;Main
1182;Mathnawå, la quàte de l'Absolu T1: Tomes 1, Livres IÖ III (Beaux Livres) (French Edition);Book ;ISBN: 2268075540ISBN_13: 9782268075549;FR 16154B5;1;Main
1183;Les Identites Meurtrieres (Ldp Litterature) (FrenchEdition);Book ;ISBN: 2253150053ISBN_13: 9782253150053;FR 16133B5;11;Main
1184;La Confrerie Des Eveilles (Ldp Litterature) (FrenchEdition);Book ;ISBN: 2253113794ISBN_13: 9782253113799;FR 16061B5;1;Main
1185;L'Alchimiste: Roman (French Edition) ;Book ;ISBN: 2290004448ISBN_13: 9782290004449;FR 16077B5;1;Main
? 04/06/2025 23:51 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:12 4/7;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
1186;Comment Se Faire Des Amis (Le Livre de Poche)(French Edition);Book ;ISBN: 2253009105ISBN_13: 9782253009108;DP 19010B7;6;Main
1187;Les quatre accords toltäques : La voie de la libertÇpersonnelle (Poche: la voie de la libertÇ personnelle)(French Edition);Book ;ISBN: 2889116549ISBN_13: 9782889116546;DP 19047B7;2;Main
1188;L'Homme Qui Voulait Etre Heureux (Romancontemporain) (French Edition);Book ;ISBN: 2266186671ISBN_13: 9782266186674;FR 16053B5;1;Main
1189;Soufi, mon amour (LittÇrature Çtrangäre) (FrenchEdition);Book ;ISBN: 2264054069ISBN_13: 9782264054067DDC: DON FR;FR 16248B5;1;Main
1190;L'apprentissage de l'imperfection (Evol - dev'tpersonnel) (French Edition);Book ;ISBN: 2266210572ISBN_13: 9782266210577;DP 19037B7;2;Main
1191;Petites leáons de sociologie des sciences (Pochessciences) (French Edition);Book ;ISBN: 2707150126ISBN_13: 9782707150127;SH 18033B6;2;Main
1192;Things Fall Apart ;Book ;ISBN: 0385474547ISBN_13: 9780385474542;LA 17079B5;1;Main
1193;Maladie De L'Islam (Points essais) (English andFrench Edition);Book ;ISBN: 2020788470ISBN_13: 9782020788472;FR 16152B5;1;Main
1194;La formule de Dieu (Roman contemporain) (FrenchEdition);Book ;ISBN: 2266236563ISBN_13: 9782266236560;FR 16064B5;1;Main
1195;Lean In: Women, Work, and the Will to Lead ;Book ;ISBN: 0753541645ISBN_13: 9780753541647;DP 19043B7;1;Main
1196;Into the Wild ;Book ;ISBN: 0385486804ISBN_13: 9780385486804;LA 17024B5;1;Main
1197;The 7 Habits of Highly Effective People ;Book ;ISBN: 1471195201ISBN_13: 9781471195204;DP 19078B7;1;Main
1198;Good To Great : Why Some Companies Make TheLeap and Others Don't;Book ;ISBN: 0712676090ISBN_13: 9780712676090;DP 19018B7;1;Main
? 04/06/2025 23:51 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:12 5/7;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
1199;Sapiens: Une bräve histoire de l'humanitÇ (A.M.HORS COLL) (French Edition);Book ;ISBN: 2226257012ISBN_13: 9782226257017;FR 16183B5;1;Main
1200;BELLE DU SEIGNEUR ;Book ;ISBN_13: 9782070404025 ;FR 16016B5;1;Main
1201;LE PROPHETE ;Book ;ISBN_13: 9782501109918 ;FR 16223B5;1;Main
1202;LE DEUXIEME SEXE , 2 ;Book ;ISBN_13: 9782070323524 ;FR 16087B5;1;Main
1203;LE DEUXIEME SEXE , 1 ;Book ;ISBN_13: 9782070323517 ;FR 16086B5;1;Main
1204;Comment Se Faire Des Amis (Le Livre de Poche)(French Edition);Book ;ISBN: 2253009105ISBN_13: 9782253009108;DP 19010B7;7;Main
1205;Le racisme expliquÇ Ö ma fille ;Book ;ISBN: 2021408086ISBN_13: 9782021408089;FR 16107B5;2;Main
1206;Copenhagen ;Book ;ISBN: 041377371XISBN_13: 9780413773715;LA 17137B5;2;Main
1207;L'Empire Des Anges (Le Livre de Poche) (FrenchEdition);Book ;ISBN: 2253152072ISBN_13: 9782253152071;FR 16115B5;1;Main
1208;Analyse rÇelle et complexe - 3äme Çdition - Cours etexercices NP: Cours et exercices (Sciences Sup)(French Edition);Book ;ISBN: 2100534475ISBN_13: 9782100534470;MA 6011B3;1;Main
1209;Exercices et problämes rÇsolus de rechercheopÇrationnelle - Tome 3 - 2äme Çdition (Exercices etproblämes rÇsolus de recherche opÇrationnelle (3));Book ;ISBN: 2100076787ISBN_13: 9782100076789;MA 6032B3;1;Main
1210;MÇthodes mathÇmatiques pour les sciencesphysiques (HR.ENSEIG.SCIEN) (French Edition);Book ;ISBN: 2705652132ISBN_13: 9782705652135;MA 6055B3;1;Main
1211;MÇthodes mathÇmatiques de la finance (ECONOMIEET STA);Book ;ISBN: 2717851100ISBN_13: 9782717851106;MA 6053B3;1;Main
1212;Initiation Ö la mesure et Ö l?intÇgration - Cours etexercices corrigÇs (RÇfÇrences sciences);Book ;ISBN: 2340003652ISBN_13: 9782340003651;MA 6041B3;1;Main
? 04/06/2025 23:51 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:12 6/7;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;Call No ;CopyNo;Branch
1213;Analyse fonctionnelle - ThÇorie et applications:ThÇorie et applications (Sciences Sup) (FrenchEdition);Book ;ISBN: 2100493361ISBN_13: 9782100493364;MA 6008B3;2;Main
1214;TD Analyse - 5äme Çdition (MathÇmatiques (1)) ;Book ;ISBN: 2100589342ISBN_13: 9782100589340;MA 6083B3;1;Main
1215;TD Analyse - 5äme Çdition (MathÇmatiques (1)) ;Book ;ISBN: 2100589342ISBN_13: 9782100589340;MA 6083B3;2;Main
1216;Level 4: Knife Edge ;Book ;ISBN: 140829138XISBN_13: 9781408291382;LA 17042B5;1;Main
1217;"HBR's 10 Must Reads on Leadership (with featuredarticle ""What Makes an Effective Executive,"" by PeterF. Drucker)";Book ;ISBN: 1422157970ISBN_13: 9781422157978;DP 19019B7;1;Main
? Page 12 of 20, showing 100 records out of 1942 total, starting on record 1101, ending on 1200;;;;;;
;;;;;;
04/06/2025 23:51 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:12 7/7;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;CallNo;CopyNo;Branch
1218;RÇsistance des matÇriaux: Cours - Exercices corrigÇs.(Blanche BTP) (French Edition);Book ;ISBN: 2212136234ISBN_13: 9782212136234;PH 754B1;1;Main
1219;Le Journal d'Anne Frank (LittÇrature) (French Edition) ;Book ;ISBN: 2253073091ISBN_13: 9782253073093;FR16094B5;1;Main
1220;Le Cerveau funambule: Comprendre et apprivoiser sonattention grÉce aux neurosciences (OJ.SCIENCES) (FrenchEdition);Book ;ISBN: 2738132553ISBN_13: 9782738132550;DP19038B7;1;Main
1221;Le Rouge Et Le Noir ;Book ;ISBN: 2253006203ISBN_13: 9782253006206;FR16109B5;2;Main
1222;Ceux Qui Vont Mourir Te Saluent (Nouveau Policier) (FrenchEdition);Book ;ISBN: 2290351288ISBN_13: 9782290351284;FR16022B5;1;Main
1223;Dans Les Bois Eternels (Nouveau Policier) (French Edition) ;Book ;ISBN: 2290017736ISBN_13: 9782290017739;FR16030B5;1;Main
1224;La Lettre de l'AcadÇmie Hassan II des sciences et Techniques- 25;Book ;ISSN: 2028-411X ;JA 25001B10;1;Main
1225;La Lettre de l'AcadÇmie Hassan II des sciences et Techniques- 26;Journal ;ISSN: 2028-411X ;JA 25002B10;1;Main
1226;La Lettre de l'AcadÇmie Hassan II des sciences et Techniques- 27;Journal ;ISSN: 2028-411X ;JA 25003B10;1;Main
1227;La Lettre de l'AcadÇmie Hassan II des sciences et Techniques- NumÇro SpÇcial;Journal ;ISSN: 2028-7380 ;JA 25004B10;1;Main
1228;La Lettre de l'AcadÇmie Hassan II des sciences et Techniques- 36;Journal ;ISSN: 2028-7380 ;JA 25005B10;1;Main
1229;La Lettre de l'AcadÇmie Hassan II des sciences et Techniques- 37;Journal ;ISSN: 2028-7380 ;JA 25006B10;1;Main
1230;Modern Classics Language Truth and Logic (Penguin ModernClassics);Book ;ISBN: 0141186046ISBN_13: 9780141186047;LA 17051B5;1;Main
? Report: All Copies ? May 6, 2025 - June 4, 2025 ?;;;;;;
;;;;;;
04/06/2025 23:51 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:13 1/8;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;CallNo;CopyNo;Branch
1231;Level 5: The Story of the Internet (2nd Edition) (PenguinReaders, Level 5);Book ;ISBN: 1405882522ISBN_13: 9781405882521;LA 17048B5;1;Main
1233;Histoires Extraordinaires (Ldp Classiques) (French Edition) ;Book ;ISBN: 2253006920ISBN_13: 9782253006923;FR16052B5;1;Main
1234;The Bourne Supremacy / A Space Odyssey ;Book ;ISBN: 1408231700ISBN_13: 9781408231708;LA 17004B5;1;Main
1235;TheCitadel by Cronin, A.J. ( Author ) ON Aug-21-2008,Paperback;Book ;ISBN: 1405882409ISBN_13: 9781405882408;LA 17078B5;1;Main
1236;Level 5: Tales of Mystery and Imagination (Pearson EnglishGraded Readers);Book ;ISBN: 1405862548ISBN_13: 9781405862547;LA 17047B5;1;Main
1237;Rules of Attraction ;Book ;ISBN: 0330536346ISBN_13: 9780330536349;LA 17065B5;1;Main
1238;Chronicles Of A Liquid Society ;Book ;ISBN: 1784705209ISBN_13: 9781784705206;SH18004B6;1;Main
1239;Breathing Lessons: A Novel ;Book ;ISBN: 0345485572ISBN_13: 9780345485571;DP19005B7;1;Main
1240;Le miracle Spinoza: Une philosophie pour Çclairer notre vie(Documents) (French Edition);Book ;ISBN: 2253091936ISBN_13: 9782253091936;PI 21011B8;1;Main
1241;Invisible Man (Penguin Modern Classics) ;Book ;ISBN: 0141184426ISBN_13: 9780141184425;LA 17026B5;1;Main
1242;A Little History of the World (Little Histories) ;Book ;ISBN: 030014332XISBN_13: 9780300143324;LA 17003B5;1;Main
1243;Thinking, Fast and Slow ;Book ;ISBN: 0141033576ISBN_13: 9780141033570;DP19086B7;1;Main
1244;Rue des Voleurs (Babel) (French Edition) ;Book ;ISBN: 233002861XISBN_13: 9782330028619;FR16181B5;1;Main
? 04/06/2025 23:51 Librarika: Reports;;;;;;
;;;;;;
https://centralib.librarika.com/reports/allCatalogCopies/page:13 2/8;;;;;;
;;;;;;
ASNNo;Title ;Type ;Identifiers ;CallNo;CopyNo;Branch
1245;Kite Runner ;Book ;ISBN: 1526604744ISBN_13: 9781526604743;LA 17028B5;1;Main
1246;Sunset Park ;Book ;ISBN: 0571258808ISBN_13: 9780571258802;LA 17066B5;1;Main
1247;Remains Of The Day ;Book ;ISBN: 0571258247ISBN_13: 9780571258246;LA 17064B5;1;Main
1248;How to Win Friends and Influence People ;Book ;ISBN: 0091906350ISBN_13: 9780091906351;DP19024B7;1;Main
1249;Emotional Intelligence ;Book ;ISBN: 1526633620ISBN_13: 9781526633620;DP19015B7;1;Main
1251;La Confiance en soi, une philosophie (French Edition) ;Book ;ISBN: 2370731664ISBN_13: 9782370731661;DP19036B7;1;Main
1252;Influence: The Psychology of Persuasion, Revised Edition ;Book ;ISBN: 006124189XISBN_13: 9780061241895;DP19027B7;1;Main
